"Agency","Award Date","Vendor","Contract","Contract-ID","Subject","Current Contract Value","Status","Completion Date","Procurement Method","Category","NGIP Codes and Categories","Vendor ID"
"Department of Public Safety","2024-02-05","METRO AVIATION INC","0000000000000000000003632","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003632' target='_blank'>0000000000000000000003632</a>","Heavy Aviation Maintenance","$2,500,000","Active","12/31/2028","Non-Comp, Emergency","Other","905-28 Other Services, 905-60 Non-Construction Maintenance, 905-4  Other Services, 905-36 Other Services, 905-18 Non-Construction Maintenance, 905-47 Other Services, 905-10 Other Services, 905-90 Non-Construction Maintenance, 905-15 Non-Construction Maintenance, 905-38 Non-Construction Maintenance, 905-70 Non-Construction Maintenance, 905-11 Non-Construction Maintenance, 905-34 Other Services, 905-37 Other Services, 905-16 Non-Construction Maintenance, 905-20 Security/Safety Services, 905-0  Other Services, 905-3  Other Services, 905-26 Security/Safety Services, 905-67 Non-Construction Maintenance, 905-5  Other Services, 905-59 Other Services, 905-50 Other Services, 905-53 Other Services, 905-12 Security/Safety Services, 905-41 Other Services, 905-17 Security/Safety Services, 905-32 Other Services, 905-35 Other Services, 905-31 Other Services, 905-14 Non-Construction Maintenance, 905-66 Non-Construction Maintenance, 905-69 Non-Construction Maintenance, 905-72 Other Services, 905-13 Non-Construction Maintenance, 905-19 Other Services, 905-80 Other Services, 905-71 Other Services, 905-33 Other Services, 905-68 Security/Safety Services","""17209310493000"""
"Department of Public Safety","2024-02-05","CON10GENCY CONSULTING, LLC","0000000000000000000003693","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003693' target='_blank'>0000000000000000000003693</a>","A24 TIP Kit","$159,952","Completed","08/31/2024","Non-Comp, Direct Award","Goods","680-8  Goods","""13840157898*00"""
"Department of Public Safety","2024-02-06","GTS TECHNOLOGY SOLUTIONS INC","0000000000000000000003698","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003698' target='_blank'>0000000000000000000003698</a>","MotorsEquip","$117,409","Completed","08/31/2024","Competitive","Information","204-68 Information Technology, 204-74 Information Technology, 204-54 Information Technology, 204-80 Information Technology","""17423397979001"""
"Department of Public Safety","2024-02-07","LEXISNEXIS RISK SOLUTIONS FL INC","0000000000000000000003649","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003649' target='_blank'>0000000000000000000003649</a>","FY24 SOLCIT ICT TraX & Viper","$288,549","Active","08/31/2028","Competitive","Other","956-35 Other Services","""14118158808001"""
"Department of Public Safety","2024-02-08","CEDA-TEX SERVICES INC","0000000000000000000003702","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003702' target='_blank'>0000000000000000000003702</a>","Gonzalez Refresh","$71,112","Completed","08/31/2025","Competitive","Goods","909-22 Construction","""17429198900001"""
"Department of Public Safety","2024-02-09","MOTOROLA SOLUTIONS INC","0000000000000000000003705","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003705' target='_blank'>0000000000000000000003705</a>","Motorola 03 Heads","$89,986","Completed","08/31/2024","Competitive","Goods","726-90 Goods","""13611158000009"""
"Department of Public Safety","2024-02-12","THE UNIVERSITY OF TEXAS AT AUSTIN","0000000000000000000003637","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003637' target='_blank'>0000000000000000000003637</a>","DLD DPS CUSTOMER SERVICE SURVEY","$92,800","Active","01/31/2026","Non-Comp, Interagency","Other","961-53 Other Services","""17460002037000"""
"Department of Public Safety","2024-02-12","G T DISTRIBUTORS INC","0000000000000000000003708","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003708' target='_blank'>0000000000000000000003708</a>","02.01.24_Ammo 9mm Horn Trn","$86,073","Completed","08/31/2024","Non-Comp, Interagency","Goods","680-20 Goods, 680-10 Goods, 680-36 Goods, 680-42 Goods, 680-62 Goods, 680-65 Goods, 680-94 Goods, 680-97 Goods, 680-82 Goods, 680-88 Goods, 680-12 Goods, 680-41 Goods, 680-70 Goods, 680-76 Goods, 680-47 Goods, 680-57 Goods, 680-60 Goods, 680-92 Goods, 680-48 Goods, 680-77 Goods, 680-49 Goods, 680-52 Goods, 680-78 Goods, 680-84 Goods, 680-87 Goods, 680-2  Goods, 680-28 Goods, 680-34 Goods, 680-54 Goods, 680-86 Goods, 680-89 Goods, 680-5  Goods, 680-40 Goods, 680-50 Goods, 680-56 Goods, 680-59 Goods, 680-51 Goods, 680-74 Goods, 680-80 Goods, 680-67 Goods, 680-96 Goods, 680-6  Goods, 680-58 Goods, 680-61 Goods, 680-4  Goods, 680-33 Goods, 680-68 Goods, 680-71 Goods, 680-66 Goods, 680-72 Goods, 680-63 Goods, 680-95 Goods, 680-0  Goods, 680-32 Goods, 680-35 Goods, 680-93 Goods, 680-8  Goods, 680-46 Goods, 680-45 Goods, 680-24 Goods, 680-53 Goods, 680-85 Goods, 680-44 Goods, 680-73 Goods, 680-79 Goods","""17423395288000"""
"Department of Public Safety","2024-02-13","PRECISION DELTA CORP","0000000000000000000003710","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003710' target='_blank'>0000000000000000000003710</a>","02.01.24_Ammo_223 Trn Win 55gr","$86,336","Completed","08/31/2024","Non-Comp, Interagency","Goods","680-4  Goods","""16406718441001"""
"Department of Public Safety","2024-02-14","BSD ROBOTICS PTY LTD","0000000000000000000003701","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003701' target='_blank'>0000000000000000000003701</a>","Semi-Auto Punch Instrument","$113,940","Completed","08/31/2024","Competitive","Goods","493-64 Goods, 493-62 Goods","""14733267752001"""
"Department of Public Safety","2024-02-14","G T DISTRIBUTORS INC","0000000000000000000003714","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003714' target='_blank'>0000000000000000000003714</a>","223 Remington Amm","$67,962","Completed","12/31/2025","Competitive","Goods","680-4  Goods","""17423395288000"""
"Department of Public Safety","2024-02-14","G T DISTRIBUTORS INC","0000000000000000000003715","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003715' target='_blank'>0000000000000000000003715</a>","02.07.24_*DD* 308_168gr_ 9mm","$68,934","Completed","08/31/2024","Non-Comp, Emergency","Goods","680-4  Goods","""17423395288000"""
"Department of Public Safety","2024-02-16","PACIFIC MOBILE STRUCTURES INC","0000000000000000000003691","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003691' target='_blank'>0000000000000000000003691</a>","20230245000 Winnie CVE Modular","$742,190","Active","02/15/2034","Competitive","Goods","155-10 Goods","""19112177712002"""
"Department of Public Safety","2024-02-16","TIME WARNER CABLE","000000000000000000001871A","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=000000000000000000001871A' target='_blank'>000000000000000000001871A</a>","Blanket for Spectrum Field","$516,034","Active","-","Competitive","Other","915-24 Other Services, 915-27 Consulting Services, 915-59 Other Services, 915-8  Other Services, 915-14 Other Services, 915-23 Consulting Services, 915-42 Other Services, 915-65 Other Services, 915-71 Other Services, 915-74 Consulting Services, 915-16 Other Services, 915-25 Other Services, 915-11 Other Services, 915-69 Other Services, 915-48 Other Services, 915-77 Information Technology, 915-28 Information Technology, 915-57 Other Services, 915-38 Other Services, 915-64 Other Services, 915-70 Security/Safety Services, 915-2  Consulting Services, 915-5  Other Services, 915-60 Other Services, 915-76 Information Technology, 915-82 Other Services, 915-3  Consulting Services, 915-6  Other Services, 915-9  Other Services, 915-1  Consulting Services, 915-7  Other Services, 915-10 Consulting Services, 915-36 Information Technology, 915-68 Other Services, 915-97 Information Technology, 915-4  Consulting Services, 915-45 Other Services, 915-0  Other Services, 915-67 Information Technology, 915-93 Information Technology, 915-96 Information Technology, 915-95 Security/Safety Services, 915-49 Information Technology, 915-52 Other Services, 915-81 Other Services, 915-22 Consulting Services, 915-51 Other Services, 915-80 Other Services, 915-83 Other Services, 915-20 Information Technology, 915-26 Other Services, 915-58 Other Services, 915-84 Other Services, 915-90 Other Services, 915-15 Other Services, 915-44 Other Services, 915-73 Other Services, 915-79 Information Technology, 915-72 Other Services, 915-75 Information Technology, 915-78 Other Services, 915-30 Other Services, 915-85 Information Technology","""12738841852000"""
