STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
TEXAS,Kerr County Sheriff's Office,County,Kerr County,Task Force Model,5/8/2025,link,
TEXAS,Kerr County Sheriff's Office,County,Kerr County,Warrant Service Officer,5/2/2025,link,
TEXAS,Kingsville Police Department,Municipality ,Kleberg County,Task Force Model,1/26/2026,link,
TEXAS,Kinney County Sheriff's Office,County,Kinney County,Task Force Model,3/26/2025,link,
TEXAS,Kleberg County Attorney's Specialized Crimes & Narcotics Task Force,County,Kleberg County,Task Force Model,12/16/2025,link,
TEXAS,Kleberg County Sheriff's Office,County,Kleberg County ,Jail Enforcement Model,7/31/2020,link,
TEXAS,Kleberg County Sheriff's Office,County,Kleberg County ,Task Force Model,12/18/2025,link,
TEXAS,Knox County Sheriff's Office,County,Knox County,Warrant Service Officer,6/30/2025,link,
TEXAS,Lamar County Sheriff's Office ,County ,Lamar County,Warrant Service Officer,10/17/2025,link,
TEXAS,Lamb County Sheriff's Office,County,Lamb County,Warrant Service Officer,6/17/2025,link,
TEXAS,Lampasas County Sheriff's Office,County,Lampasas County,Task Force Model,11/18/2025,link,
TEXAS,Lampasas County Sheriff's Office,County,Lampasas County,Warrant Service Officer,7/15/2025,link,
TEXAS,Lavaca County Sheriff’s Office,County,Lavaca County,Jail Enforcement Model,6/8/2020,link,
TEXAS,Lavaca County Sheriff’s Office,County,Lavaca County,Task Force Model,9/9/2025,link,
TEXAS,Lavaca County Sheriff's Office,County,Lavaca County ,Warrant Service Officer,2/24/2025,link,
TEXAS,League City Police Department ,Municipality,Galveston County,Task Force Model,9/22/2025,link,
TEXAS,League City Police Department ,Municipality,Galveston County,Warrant Service Officer,9/22/2025,link,
TEXAS,Lee County Sheriff's Office,County ,Lee County,Warrant Service Officer,8/28/2025,link,
TEXAS,Liberty County Sheriff's Office,County,Liberty County,Warrant Service Officer,1/30/2026,link,
TEXAS,Limestone County Sheriff's Office,County,Limestone County,Warrant Service Officer,1/26/2026,link,
TEXAS,Lipscomb County Sheriff's Office,County ,Lipscomb County,Warrant Service Officer,8/28/2025,link,
TEXAS,Live Oak County Sheriff's Office ,County,Live Oak County,Task Force Model,10/17/2025,link,
TEXAS,Live Oak County Sheriff's Office ,County,Live Oak County,Warrant Service Officer,4/16/2025,link,
TEXAS,Lubbock County Sheriff's Office,County,Lubbock County ,Jail Enforcement Model,6/8/2020,link,
TEXAS,Lynn County Sheriff's Office,County,Lynn County,Warrant Service Officer,7/2/2025,link,
TEXAS,Madison County Sheriff's Office,County,Madison County,Warrant Service Officer,6/12/2025,link,
TEXAS,Marion County Sheriff's Office,County,Marion County ,Task Force Model,12/11/2025,link,
TEXAS,Marlin Police Department ,Municipality ,Fall County,Task Force Model,12/10/2025,link,
TEXAS,Matagorda County Sheriff's Office,County,Matagorda County ,Jail Enforcement Model,3/13/2020,link,
TEXAS,McLennan County Sheriff's Office,County ,McLennan County,Task Force Model,12/12/2025,link,
TEXAS,McMullen County Sheriff's Office,County,McMullen County ,Task Force Model,1/30/2026,link,
TEXAS,McMullen County Sheriff's Office,County,McMullen County ,Warrant Service Officer,2/27/2025,link,
TEXAS,Medina County Sheriff's Office,County,Medina County,Task Force Model,3/26/2025,link,
TEXAS,Menard County Sheriff's Office ,County,Menard County,Warrant Service Officer,2/10/2026,link pending,
TEXAS,Midland County Sheriff's Office ,County ,Midland County,Warrant Service Officer,10/17/2025,link,
TEXAS,Milam County Sheriff's Office,County,Milam County,Task Force Model,9/9/2025,link,
TEXAS,Milam County Sheriff's Office,County,Milam County,Warrant Service Officer,6/11/2025,link,
